Date,Centre_Name,Commodity_Name,Price
02-02-09,RAIPUR,Wheat,NA
02-02-09,AHMEDABAD,Wheat,NA
02-02-09,BHOPAL,Wheat,1100
02-02-09,MUMBAI,Wheat,NA
02-02-09,JAIPUR,Wheat,1200
02-02-09,PATNA,Wheat,NA
02-02-09,RANCHI,Wheat,NA
02-02-09,BHUBANESHWAR,Wheat,1220
02-02-09,KOLKATA,Wheat,NA
02-02-09,GUWAHATI,Wheat,NA
02-02-09,SHILLONG,Wheat,NA
02-02-09,AIZWAL,Wheat,NA
02-02-09,KOHIMA,Wheat,NA
02-02-09,AGARTALA,Wheat,NA
02-02-09,BENGALURU,Wheat,1600
02-02-09,T.PURAM,Wheat,NA
02-02-09,CHENNAI,Wheat,NA
02-02-09,HYDERABAD,Wheat,NA
03-02-09,CHANDIGARH,Wheat,NA
03-02-09,DELHI,Wheat,1185
03-02-09,SHIMLA,Wheat,NA
03-02-09,SRINAGAR,Wheat,NA
03-02-09,JAMMU,Wheat,NA
03-02-09,AMRITSAR,Wheat,1000
03-02-09,LUDHIANA,Wheat,1100
03-02-09,LUCKNOW,Wheat,1120
03-02-09,DEHRADUN,Wheat,NA
03-02-09,RAIPUR,Wheat,NA
03-02-09,AHMEDABAD,Wheat,NA
03-02-09,BHOPAL,Wheat,NA
03-02-09,MUMBAI,Wheat,NA
03-02-09,JAIPUR,Wheat,1200
03-02-09,PATNA,Wheat,NA
03-02-09,RANCHI,Wheat,NA
03-02-09,BHUBANESHWAR,Wheat,1220
03-02-09,KOLKATA,Wheat,NA
03-02-09,GUWAHATI,Wheat,NA
03-02-09,SHILLONG,Wheat,NA
03-02-09,AIZWAL,Wheat,NA
03-02-09,KOHIMA,Wheat,NA
03-02-09,AGARTALA,Wheat,NA
03-02-09,BENGALURU,Wheat,1600
03-02-09,T.PURAM,Wheat,NA
03-02-09,CHENNAI,Wheat,NA
03-02-09,HYDERABAD,Wheat,NA
04-02-09,CHANDIGARH,Wheat,NA
04-02-09,DELHI,Wheat,1185
04-02-09,SHIMLA,Wheat,NA
04-02-09,SRINAGAR,Wheat,NA
04-02-09,JAMMU,Wheat,NA
04-02-09,AMRITSAR,Wheat,1075
04-02-09,LUDHIANA,Wheat,1100
04-02-09,LUCKNOW,Wheat,NA
04-02-09,DEHRADUN,Wheat,1170
04-02-09,RAIPUR,Wheat,NA
04-02-09,AHMEDABAD,Wheat,NA
04-02-09,BHOPAL,Wheat,1100
04-02-09,MUMBAI,Wheat,NA
04-02-09,JAIPUR,Wheat,1200
04-02-09,PATNA,Wheat,NA
04-02-09,RANCHI,Wheat,NA
04-02-09,BHUBANESHWAR,Wheat,1220
04-02-09,KOLKATA,Wheat,NA
04-02-09,GUWAHATI,Wheat,NA
04-02-09,SHILLONG,Wheat,NA
04-02-09,AIZWAL,Wheat,NA
04-02-09,KOHIMA,Wheat,NA
04-02-09,AGARTALA,Wheat,NA
04-02-09,BENGALURU,Wheat,1600
04-02-09,T.PURAM,Wheat,NA
04-02-09,CHENNAI,Wheat,1540
04-02-09,HYDERABAD,Wheat,NA
05-02-09,CHANDIGARH,Wheat,NA
05-02-09,DELHI,Wheat,1185
05-02-09,SHIMLA,Wheat,NA
05-02-09,SRINAGAR,Wheat,NA
05-02-09,JAMMU,Wheat,NA
05-02-09,AMRITSAR,Wheat,1075
05-02-09,LUDHIANA,Wheat,1100
05-02-09,LUCKNOW,Wheat,1120
05-02-09,DEHRADUN,Wheat,NA
05-02-09,RAIPUR,Wheat,NA
05-02-09,AHMEDABAD,Wheat,NA
05-02-09,BHOPAL,Wheat,NA
05-02-09,MUMBAI,Wheat,NA
05-02-09,JAIPUR,Wheat,NA
05-02-09,PATNA,Wheat,NA
05-02-09,RANCHI,Wheat,NA
05-02-09,BHUBANESHWAR,Wheat,1220
05-02-09,KOLKATA,Wheat,NA
05-02-09,GUWAHATI,Wheat,NA
05-02-09,SHILLONG,Wheat,NA
05-02-09,AIZWAL,Wheat,NA
05-02-09,KOHIMA,Wheat,NA
05-02-09,AGARTALA,Wheat,NA
05-02-09,BENGALURU,Wheat,1600
05-02-09,T.PURAM,Wheat,NA
05-02-09,CHENNAI,Wheat,NA
05-02-09,HYDERABAD,Wheat,NA
06-02-09,CHANDIGARH,Wheat,NA
06-02-09,DELHI,Wheat,1185
